id,has_website,is_scraped,is_filtered
2289122190,True,True,False
2296117755,,False,False
2298231513,,False,False
2299421656,True,False,False
2301841101,,False,False
2304237774,True,True,False
2309821674,True,False,False
2317012955,,False,False
2336992357,True,False,False
2339306349,True,False,False
2349289306,True,False,False
2371979274,True,True,False
2398392026,,False,False
2400928897,,False,False
2400958501,,False,False
2402733914,True,False,False
2403628637,,False,False
2407106486,True,True,False
2413371252,,False,False
2433655016,True,True,False
2452257865,True,True,False
2452272082,,False,False
2502417798,True,True,False
2506811786,,False,False
2520331700,,False,False
2577907280,True,True,False
2582824137,True,True,False
2587771225,,False,False
2602230625,,False,False
2625179534,True,True,False
2629294825,True,False,False
2634533920,True,True,False
2641964838,,False,False
2659423785,,False,False
2663783263,True,False,False
2701305498,True,True,False
2703100187,True,True,False
2726886499,True,False,False
2748479278,,False,False
2752211663,,False,False
2789081393,,False,False
2874294501,True,True,False
2879972993,True,False,False
2890797998,True,True,False
2912013394,,False,False
2915897849,True,True,False
2927938429,True,False,False
2929645532,True,True,False
2952673743,,False,False
2965233895,True,False,False
2967531449,,False,False
2976324699,True,True,False
2978241674,,False,False
2983753082,,False,False
2987238077,True,True,False
2988406100,True,True,False
2989906851,,False,False
3025797721,True,True,False
3057750584,True,True,False
3065324623,True,True,False
3114399005,False,False,False
3114512907,,False,False
3116771047,,False,False
3210803838,True,True,False
3212152811,True,True,False
3217885285,True,True,False
3234537920,,False,False
3237957650,,False,False
3252766355,,False,False
3252791198,True,True,False
3254551905,True,True,False
3267356267,True,True,False
3267356269,True,True,False
3281111010,True,False,False
3282017406,True,True,False
3283703322,,False,False
3340011693,True,False,False
3355311163,,False,False
3374638716,True,True,False
3376705705,True,True,False
3465527201,True,False,False
3465954602,,False,False
3466020360,True,False,False
3497025589,,False,False
3547329759,True,True,False
3572859140,True,True,False
3580386938,,False,False
3625214583,True,True,False
3669869644,True,True,False
3688112118,True,False,False
3688863104,True,False,False
3688863106,True,True,False
3723515714,,False,False
3781985916,True,True,False
3786832957,True,True,False
3825133471,,False,False
3849596261,True,True,False
3904919515,True,False,False
3964778090,,False,False
4041652824,,False,False
4068042701,,False,False
4080137944,True,False,False
4114819293,,False,False
4150100090,True,False,False
4223832491,,False,False
4260328811,True,False,False
4275461315,True,False,False
4303626792,True,True,False
4315687292,True,True,False
4374453595,True,True,False
4389043192,True,True,False
4394507262,,False,False
4406483293,True,True,False
4420328787,,False,False
4420328796,,False,False
4421614890,,False,False
4448611036,True,True,False
4449652781,,False,False
4455388196,True,True,False
4461109489,True,True,False
4486659583,,False,False
4486707871,True,True,False
4498334121,False,False,False
4499050594,,False,False
4500580132,True,False,False
4507243877,True,True,False
4554264704,True,True,False
4584426462,,False,False
4585752820,,False,False
4688138991,True,True,False
4690478411,True,False,False
4691161348,,False,False
4749665860,,False,False
4809498355,,False,False
4825792165,True,True,False
4828657503,,False,False
4828657504,,False,False
4844179974,,False,False
4844179975,,False,False
4844210350,,False,False
4867276821,True,True,False
4879596721,,False,False
4975318390,,False,False
4985561623,True,True,False
5001114623,True,True,False
5073880176,,False,False
5080766221,True,True,False
5120680621,True,True,False
5135530278,,False,False
5137495924,True,True,False
5186077450,True,True,False
5215886713,,False,False
5244519216,,False,False
5290313121,,False,False
5302325321,True,True,False
5314753765,True,False,False
5314753773,,False,False
5314753778,,False,False
5344723125,,False,False
5349186290,,False,False
5353281904,,False,False
5418885005,,False,False
5439583438,,False,False
5439800380,,False,False
5439834513,,False,False
5440101529,,False,False
5501933657,,False,False
5582634922,True,True,False
5745397483,True,False,False
5757292364,,False,False
5764617974,True,True,False
5806877355,True,True,False
5921647691,True,True,False
5924055486,,False,False
5926757954,,False,False
5943030617,,False,False
5963911942,True,True,False
5986435759,,False,False
6109596985,True,False,False
6128875282,,False,False
6142423517,True,False,False
6151855257,,False,False
6195333578,True,True,False
6255804840,,False,False
6263379296,,False,False
6274100102,True,True,False
6277078905,,False,False
6300969286,True,True,False
6306547028,,False,False
6349130278,,False,False
6372735862,True,True,False
6387559831,,False,False
6387564854,True,True,False
6410448358,,False,False
6436640482,True,True,False
6448420112,True,True,False
6451331759,,False,False
6511805486,,False,False
6538097033,True,True,False
6546106475,True,True,False
6546106482,,False,False
6569408052,True,True,False
6577161685,True,True,False
6577373340,True,True,False
6577409173,,False,False
6645659122,True,True,False
6654362816,True,False,False
6699988258,,False,False
6705180228,,False,False
6723101959,True,True,False
6724004493,,False,False
6738066518,True,True,False
6742887340,True,True,False
6763360393,,False,False
6766535819,True,True,False
6772804935,True,False,False
6778990129,,False,False
6899653924,True,True,False
6911426536,True,False,False
6953288214,,False,False
6953288215,,False,False
6966328187,,False,False
7004299743,True,False,False
7056606108,True,True,False
7103171119,True,True,False
7112475113,True,True,False
7181833241,True,True,False
7183622958,True,True,False
7183706111,True,True,False
7188808790,True,True,False
7203033166,,False,False
7216847529,True,True,False
7278483007,True,True,False
7297194388,True,True,False
7366279118,True,False,False
7430883791,True,True,False
7516205148,,False,False
7545709020,True,True,False
7572333091,True,True,False
7595437443,True,True,False
7622607474,,False,False
7652443553,True,True,False
7700176185,,False,False
7741406485,,False,False
7744632005,True,True,False
7750226460,True,True,False
7765356215,True,True,False
7775621622,True,True,False
7794087041,True,False,False
7881035785,True,True,False
8009756270,,False,False
8145452717,True,False,False
8198477704,,False,False
8303363989,True,True,False
8303946461,True,True,False
8311810750,True,True,False
8415050156,,False,False
8617328963,,False,False
8630142505,True,True,False
8644920381,,False,False
8651603412,True,True,False
8662416317,True,True,False
8705314768,True,False,False
8705314772,,False,False
8825952950,,False,False
8848307463,True,True,False
8856473381,,False,False
8868814519,True,True,False
8941418004,True,True,False
8999253780,,False,False
9199466982,True,True,False
9356549832,True,True,False
9366102264,True,False,False
9378217416,True,True,False
9385952413,,False,False
9420281554,,False,False
9464255217,True,True,False
9482332062,True,True,False
9500506921,,False,False
9510671656,True,True,False
9516329598,,False,False
9516329599,,False,False
9543780251,True,True,False
9544250468,True,True,False
9544875047,True,True,False
9546667828,True,True,False
9546667829,True,True,False
9550812464,,False,False
9556545023,True,True,False
9611136917,,False,False
9624154418,True,True,False
9637507126,,False,False
9690398203,True,True,False
9695523362,True,True,False
9770632819,True,True,False
9873777996,True,True,False
9884774124,,False,False
9914269909,True,True,False
9993441722,True,True,False
10036136099,,False,False
10045681235,,False,False
10183012025,True,True,False
10282100471,True,False,False
10654567507,True,True,False
10656175457,True,False,False
10815664064,True,True,False
10859947531,True,True,False
10875486077,True,True,False
10911393688,,False,False
10914321091,,False,False
10946289898,True,True,False
11075668572,True,True,False
11075668575,True,True,False
11091077079,True,True,False
11091079631,,False,False
11137733515,True,False,False
11149838461,True,True,False
11186563045,,False,False
11249008637,,False,False
11255816886,,False,False
11482169658,True,False,False
11703444045,True,True,False
11769131136,,False,False
11780033201,True,False,False
11782849549,True,True,False
11825305175,,False,False
11829888333,True,True,False
11844620016,,False,False
11897158625,True,True,False
12015494018,,False,False
12039743944,True,True,False
12094739651,True,True,False
12132087930,,False,False
12151173280,True,False,False
12168076191,True,True,False
12241267601,True,True,False
12241534901,,False,False
12291682001,,False,False
12317801293,True,True,False
12378596289,,False,False
12529958677,,False,False
12559160130,True,False,False
12563569914,True,True,False
12600440831,True,False,False
12600784148,True,True,False
12600784149,True,True,False
12613351605,True,True,False
12613517381,True,True,False
12613556742,True,True,False
12613600101,True,True,False
12723063157,,False,False
12755512667,,False,False
12811865800,True,True,False
12839773432,,False,False
12851402301,True,True,False
12875153800,True,True,False
293379081,,False,False
296582365,,False,False
381712516,,False,False
493599694,True,True,False
516655328,,False,False
529675707,,False,False
550492788,,False,False
563262792,True,True,False
563286954,True,True,False
563286955,False,False,False
571613473,,False,False
613403047,True,True,False
616584510,,False,False
643877473,,False,False
645641934,True,True,False
767162813,True,True,False
773143509,True,True,False
789376841,True,False,False
861720578,,False,False
977406572,,False,False
988716374,True,True,False
1033230748,True,True,False
